iter	Passed	Remaining
0	27	5548
1	56	5642
2	97	6402
3	120	5888
4	142	5571
5	171	5540
6	196	5428
7	216	5205
8	237	5044
9	259	4929
10	290	4987
11	321	5030
12	350	5038
13	374	4969
14	400	4938
15	423	4868
16	448	4828
17	469	4747
18	499	4762
19	531	4782
20	555	4738
21	592	4791
22	618	4759
23	648	4758
24	673	4714
25	695	4652
26	721	4623
27	747	4593
28	778	4592
29	848	4809
30	890	4854
31	930	4886
32	961	4866
33	992	4844
34	1025	4834
35	1051	4791
36	1074	4733
37	1097	4677
38	1121	4627
39	1150	4600
40	1180	4576
41	1208	4547
42	1237	4517
43	1264	4481
44	1292	4452
45	1322	4426
46	1349	4394
47	1374	4353
48	1394	4298
49	1421	4263
50	1448	4231
51	1473	4192
52	1507	4181
53	1533	4145
54	1557	4105
55	1583	4070
56	1605	4028
57	1628	3987
58	1657	3962
59	1684	3929
60	1710	3898
61	1744	3884
62	1771	3852
63	1800	3826
64	1824	3789
65	1852	3761
66	1883	3738
67	1908	3704
68	1937	3678
69	1968	3655
70	1994	3623
71	2025	3600
72	2055	3576
73	2081	3544
74	2114	3523
75	2135	3484
76	2166	3460
77	2194	3431
78	2218	3397
79	2240	3361
80	2268	3333
81	2293	3300
82	2319	3270
83	2346	3240
84	2373	3210
85	2398	3179
86	2423	3147
87	2450	3118
88	2477	3090
89	2510	3068
90	2531	3032
91	2559	3004
92	2585	2975
93	2620	2954
94	2647	2925
95	2669	2892
96	2700	2867
97	2729	2841
98	2763	2819
99	2794	2794
100	2823	2767
101	2848	2736
102	2876	2709
103	2901	2677
104	2922	2644
105	2954	2620
106	2982	2592
107	3010	2564
108	3036	2535
109	3060	2504
110	3090	2478
111	3114	2447
112	3140	2417
113	3163	2386
114	3187	2355
115	3214	2327
116	3240	2298
117	3263	2267
118	3283	2235
119	3309	2206
120	3335	2178
121	3361	2149
122	3384	2118
123	3412	2091
124	3441	2064
125	3473	2040
126	3500	2012
127	3538	1990
128	3564	1961
129	3591	1933
130	3621	1907
131	3645	1878
132	3677	1852
133	3701	1823
134	3728	1795
135	3757	1768
136	3786	1741
137	3807	1710
138	3841	1685
139	3868	1657
140	3896	1630
141	3924	1602
142	3955	1576
143	3982	1548
144	4013	1522
145	4036	1492
146	4062	1464
147	4087	1436
148	4112	1407
149	4134	1378
150	4156	1348
151	4179	1319
152	4206	1292
153	4235	1265
154	4262	1237
155	4291	1210
156	4317	1182
157	4341	1154
158	4373	1127
159	4404	1101
160	4429	1072
161	4462	1046
162	4495	1020
163	4522	992
164	4546	964
165	4573	936
166	4599	908
167	4624	880
168	4649	852
169	4676	825
170	4704	797
171	4727	769
172	4744	740
173	4773	713
174	4798	685
175	4822	657
176	4851	630
177	4873	602
178	4896	574
179	4919	546
180	4945	519
181	4972	491
182	4999	464
183	5028	437
184	5054	409
185	5080	382
186	5105	354
187	5129	327
188	5154	299
189	5180	272
190	5203	245
191	5230	217
192	5257	190
193	5285	163
194	5311	136
195	5341	109
196	5371	81
197	5400	54
198	5426	27
199	5457	0
